address,weight,confirmation_weight,confirm_ratio_pct,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,14011,0,0.0,8767965823220,8767.9658,0,0.0000,8767965823220,8767.9658
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,9205,3789,41.16,5760411491167,5760.4115,0,0.0000,5760411491167,5760.4115
gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,64193,58810,91.61,40171438875884,40171.4389,36802802802343,36802.8028,3368636073541,3368.6361
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,4921,0,0.0,3079520363719,3079.5204,0,0.0000,3079520363719,3079.5204
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,5925,4826,81.45,3707815109741,3707.8151,3020070163647,3020.0702,687744946094,687.7449
